month,m0_val,m0_chg,m0_pct,m1_val,m1_chg,m1_pct,m2_val,m2_chg,m2_pct,djia_val,djia_chg,djia_pct,sp_open,sp_hi,sp_lo,sp_close,sp_chg,sp_pct,nasd_val,nasd_chg,nasd_pct
2020-08,4807400,107100,2.278577963,16887,113.2,0.674861987,18378.5,61.9,0.337944815,27821.36714,1435.536234,5.44055724,"2,869.09","3,068.67","2,766.64","3,044.31",-55.98,-1.805637537,10857.4514,470.7153263,4.531888774
2020-09,4880300,72900,1.516412198,17156.8,269.8,1.597678688,18601.6,223.1,1.213918437,27733.39619,-87.97095238,-0.316199243,"2,498.08","2,954.86","2,447.49","2,912.43",-131.88,-4.332016122,10677.99801,-179.4533909,-1.652813208
2020-10,4917100,36800,0.754052005,17346.8,190,1.107432621,18747.9,146.3,0.786491485,28005.105,271.7088095,0.979717045,"2,974.28","3,136.72","2,191.86","2,584.59",-327.84,-11.25657956,11047.02844,369.0304298,3.455988935
2020-11,5093000,175900,3.57731183,17589.1,242.3,1.39679941,18958.7,210.8,1.124392599,29124.0365,1118.9315,3.995455471,"3,235.66","3,393.52","2,855.84","2,954.22",369.63,14.30130117,11144.32927,97.30082652,0.880787327
2020-12,5206500,113500,2.228548989,17812.4,223.3,1.269536247,19129.5,170.8,0.900905653,30148.58,1024.5435,3.517862299,"3,244.67","3,337.77","3,214.64","3,225.52",271.3,9.183473133,11798.25457,653.9253,5.867785168
2021-01,5248000,41500,0.797080572,18100.6,288.2,1.617973996,19393.1,263.6,1.377976424,30821.35263,672.7726316,2.231523447,"4,602.82","4,808.93","4,495.12","4,766.18","1,540.66",47.76470151,13779.34426,1981.089692,16.79137944
2021-02,5446800,198800,3.788109756,18389.4,288.8,1.59552722,19665.4,272.3,1.404107647,31283.91,462.5573684,1.500769204,"4,610.62","4,743.83","4,560.00","4,567.00",-199.18,-4.179028069,14063.00847,283.6642087,2.05861907
2021-03,5839000,392200,7.200558126,18669.4,280,1.52261629,19913.5,248.1,1.26160668,32373.29087,1089.38087,3.482240134,"4,317.16","4,608.08","4,278.94","4,605.38",38.38,0.840376615,13664.91015,-398.0983182,-2.830819017
2021-04,6042100,203100,3.478335331,18915.7,246.3,1.319271107,20122.7,209.2,1.050543601,33803.28619,1429.995321,4.417207156,"4,528.80","4,545.85","4,305.91","4,307.54",-297.84,-6.467218775,13971.85202,306.9418703,2.246204819
2021-05,6041900,-200,-0.003310107,19192.9,277.2,1.465449336,20372.4,249.7,1.240887157,34270.3085,467.0223095,1.381588485,"4,406.86","4,537.36","4,367.73","4,522.68",215.14,4.99449802,13713.47159,-258.3804327,-1.849292651
2021-06,6027100,-14800,-0.244956057,19238.2,45.3,0.23602478,20387.4,15,0.073629028,34289.90727,19.59877273,0.057188784,"4,300.73","4,429.97","4,233.13","4,395.26",-127.42,-2.817356081,14235.31315,521.84156,3.805320604
2021-07,6130300,103200,1.712266264,19401.7,163.5,0.84987161,20534.3,146.9,0.720543081,34798.80429,508.897013,1.484101456,"4,216.52","4,302.43","4,164.40","4,297.50",-97.76,-2.224214267,14532.0817,296.7685455,2.084734929
2021-08,6328800,198500,3.238014453,19677.7,276,1.422555755,20797,262.7,1.279322889,35243.96545,445.1611688,1.279242715,"4,191.98","4,238.04","4,056.88","4,204.11",-93.39,-2.173123909,14669.92408,137.8423872,0.948538482
2021-09,6388900,60100,0.949627102,19862.2,184.5,0.937609578,20982.9,185.9,0.893878925,34688.42143,-555.544026,-1.576281269,"3,992.78","4,218.78","3,992.78","4,181.17",-22.94,-0.545656512,14764.05434,94.13025652,0.641654694
2021-10,6331000,-57900,-0.906259293,20083.1,220.9,1.112162802,21187.1,204.2,0.973173394,35055.5181,367.0966667,1.058268585,"3,842.51","3,994.41","3,723.34","3,972.89",-208.28,-4.98138081,14863.62328,99.56893706,0.674401047
2021-11,6394800,63800,1.007739694,20345,261.9,1.304081541,21436.7,249.6,1.178075338,35848.57095,793.0528571,2.262276812,"3,731.17","3,950.43","3,725.62","3,811.15",-161.74,-4.071091825,15103.31918,239.695908,1.61263444
2021-12,6394800,63800,1.007739694,20345,261.9,1.304081541,21436.7,249.6,1.178075338,35363.68077,-484.8901832,-1.35260673,"3,764.61","3,870.90","3,662.71","3,714.24",-96.91,-2.542802041,14961.54305,-141.776132,-0.938708441
