symbol,date,value,Value Difference
djia,2017-10-20,23328.63,165.59000000000015
djia,2017-10-23,23273.96,-54.67000000000189
djia,2017-10-24,23441.76,167.79999999999927
djia,2017-10-25,23329.46,-112.29999999999927
djia,2017-10-26,23400.86,71.40000000000146
djia,2017-10-27,23434.19,33.32999999999811
djia,2017-10-30,23348.74,-85.44999999999709
djia,2017-10-31,23377.24,28.5
djia,2017-11-01,23435.01,57.7699999999968
djia,2017-11-02,23516.26,81.25
djia,2017-11-03,23539.19,22.93000000000029
djia,2017-11-06,23548.42,9.229999999999563
djia,2017-11-07,23557.23,8.81000000000131
djia,2017-11-08,23563.36,6.130000000001019
djia,2017-11-09,23461.94,-101.42000000000189
djia,2017-11-10,23422.21,-39.72999999999956
djia,2017-11-13,23439.7,17.4900000000016
djia,2017-11-14,23409.47,-30.229999999999563
djia,2017-11-15,23271.28,-138.19000000000233
djia,2017-11-16,23458.36,187.08000000000175
djia,2017-11-17,23358.24,-100.11999999999898
djia,2017-11-20,23430.33,72.09000000000015
djia,2017-11-21,23590.83,160.5
djia,2017-11-22,23526.18,-64.65000000000146
djia,2017-11-24,23557.99,31.81000000000131
djia,2017-11-27,23580.78,22.789999999997235
djia,2017-11-28,23836.71,255.9300000000003
djia,2017-11-29,23940.68,103.97000000000116
djia,2017-11-30,24272.35,331.66999999999825
djia,2017-12-01,24231.59,-40.7599999999984
djia,2017-12-04,24290.05,58.45999999999913
djia,2017-12-05,24180.64,-109.40999999999985
djia,2017-12-06,24140.91,-39.72999999999956
djia,2017-12-07,24211.48,70.56999999999971
djia,2017-12-08,24329.16,117.68000000000029
djia,2017-12-11,24386.03,56.86999999999898
djia,2017-12-12,24504.8,118.77000000000044
djia,2017-12-13,24585.43,80.63000000000102
djia,2017-12-14,24508.66,-76.77000000000044
djia,2017-12-15,24651.74,143.08000000000175
djia,2017-12-18,24792.2,140.45999999999913
djia,2017-12-19,24754.75,-37.45000000000073
djia,2017-12-20,24726.65,-28.099999999998545
djia,2017-12-21,24782.29,55.63999999999942
djia,2017-12-22,24754.06,-28.229999999999563
djia,2017-12-26,24746.21,-7.850000000002183
djia,2017-12-27,24774.3,28.090000000000146
djia,2017-12-28,24837.51,63.20999999999913
djia,2017-12-29,24719.22,-118.28999999999724
djia,2018-01-02,24824.01,104.78999999999724
djia,2018-01-03,24922.68,98.67000000000189
djia,2018-01-04,25075.13,152.45000000000073
djia,2018-01-05,25295.87,220.73999999999796
djia,2018-01-08,25283.0,-12.869999999998981
djia,2018-01-09,25385.8,102.79999999999927
djia,2018-01-10,25369.13,-16.669999999998254
djia,2018-01-11,25574.73,205.59999999999854
djia,2018-01-12,25803.19,228.45999999999913
djia,2018-01-16,25792.86,-10.329999999998108
djia,2018-01-17,26115.65,322.7900000000009
djia,2018-01-18,26017.81,-97.84000000000015
djia,2018-01-19,26071.72,53.909999999999854
djia,2018-01-22,26214.6,142.87999999999738
djia,2018-01-23,26210.81,-3.789999999997235
djia,2018-01-24,26252.12,41.30999999999767
djia,2018-01-25,26392.79,140.6700000000019
djia,2018-01-26,26616.71,223.91999999999825
djia,2018-01-29,26439.48,-177.22999999999956
djia,2018-01-30,26076.89,-362.59000000000015
djia,2018-01-31,26149.39,72.5
djia,2018-02-01,26186.71,37.31999999999971
djia,2018-02-02,25520.96,-665.75
djia,2018-02-05,24345.75,-1175.2099999999991
djia,2018-02-06,24912.77,567.0200000000004
djia,2018-02-07,24893.35,-19.42000000000189
djia,2018-02-08,23860.46,-1032.8899999999994
djia,2018-02-09,24190.9,330.4400000000023
djia,2018-02-12,24601.27,410.369999999999
djia,2018-02-13,24640.45,39.18000000000029
djia,2018-02-14,24893.49,253.04000000000087
djia,2018-02-15,25200.37,306.8799999999974
djia,2018-02-16,25219.38,19.010000000002037
djia,2018-02-20,24964.75,-254.63000000000102
djia,2018-02-21,24797.78,-166.97000000000116
djia,2018-02-22,24962.48,164.70000000000073
djia,2018-02-23,25309.99,347.51000000000204
djia,2018-02-26,25709.27,399.27999999999884
djia,2018-02-27,25410.03,-299.2400000000016
djia,2018-02-28,25029.2,-380.8299999999981
djia,2018-03-01,24608.98,-420.22000000000116
djia,2018-03-02,24538.06,-70.91999999999825
djia,2018-03-05,24874.76,336.6999999999971
djia,2018-03-06,24884.12,9.360000000000582
djia,2018-03-07,24801.36,-82.7599999999984
djia,2018-03-08,24895.21,93.84999999999854
djia,2018-03-09,25335.74,440.5300000000025
djia,2018-03-12,25178.61,-157.13000000000102
djia,2018-03-13,25007.03,-171.58000000000175
djia,2018-03-14,24758.12,-248.90999999999985
djia,2018-03-15,24873.66,115.54000000000087
djia,2018-03-16,24946.51,72.84999999999854
djia,2018-03-19,24610.91,-335.59999999999854
djia,2018-03-20,24727.27,116.36000000000058
djia,2018-03-21,24682.31,-44.95999999999913
djia,2018-03-22,23957.89,-724.4200000000019
djia,2018-03-23,23533.2,-424.6899999999987
djia,2018-03-26,24202.6,669.3999999999978
djia,2018-03-27,23857.71,-344.8899999999994
djia,2018-03-28,23848.42,-9.290000000000873
djia,2018-03-29,24103.11,254.69000000000233
djia,2018-04-02,23644.19,-458.9200000000019
djia,2018-04-03,24033.36,389.1700000000019
djia,2018-04-04,24264.3,230.9399999999987
djia,2018-04-05,24505.22,240.9200000000019
djia,2018-04-06,23932.76,-572.4600000000028
djia,2018-04-09,23979.1,46.340000000000146
djia,2018-04-10,24408.0,428.90000000000146
djia,2018-04-11,24189.45,-218.54999999999927
djia,2018-04-12,24483.05,293.59999999999854
djia,2018-04-13,24360.14,-122.90999999999985
djia,2018-04-16,24573.04,212.90000000000146
djia,2018-04-17,24786.63,213.59000000000015
djia,2018-04-18,24748.07,-38.56000000000131
djia,2018-04-19,24664.89,-83.18000000000029
djia,2018-04-20,24462.94,-201.95000000000073
djia,2018-04-23,24448.69,-14.25
djia,2018-04-24,24024.13,-424.5599999999977
djia,2018-04-25,24083.83,59.70000000000073
djia,2018-04-26,24322.34,238.5099999999984
djia,2018-04-27,24311.19,-11.150000000001455
djia,2018-04-30,24163.15,-148.03999999999724
djia,2018-05-01,24099.05,-64.10000000000218
djia,2018-05-02,23924.98,-174.0699999999997
djia,2018-05-03,23930.15,5.170000000001892
djia,2018-05-04,24262.51,332.35999999999694
djia,2018-05-07,24357.32,94.81000000000131
djia,2018-05-08,24360.21,2.889999999999418
djia,2018-05-09,24542.54,182.33000000000175
djia,2018-05-10,24739.53,196.98999999999796
djia,2018-05-11,24831.17,91.63999999999942
djia,2018-05-14,24899.41,68.2400000000016
djia,2018-05-15,24706.41,-193.0
djia,2018-05-16,24768.93,62.52000000000044
djia,2018-05-17,24713.98,-54.95000000000073
djia,2018-05-18,24715.09,1.110000000000582
djia,2018-05-21,25013.29,298.2000000000007
djia,2018-05-22,24834.41,-178.88000000000102
djia,2018-05-23,24886.81,52.400000000001455
