Symbol,Date,Open,High,Low,Close
CCMP:IND,1/12/1999,3341.1,3375.8,3321.57,3353.71
CCMP:IND,30/11/1999,3424.61,3424.61,3326.53,3336.16
CCMP:IND,29/11/1999,3458.13,3468.32,3421.36,3421.37
CCMP:IND,26/11/1999,3455.14,3469.35,3444.13,3447.81
CCMP:IND,24/11/1999,3351.66,3420.5,3328.03,3420.5
CCMP:IND,23/11/1999,3408.68,3411.23,3320.67,3342.87
CCMP:IND,22/11/1999,3399.06,3400.23,3357.68,3392.56
CCMP:IND,19/11/1999,3351.75,3373,3335.63,3369.25
CCMP:IND,18/11/1999,3301.49,3347.11,3288.68,3347.11
CCMP:IND,17/11/1999,3308.88,3324.24,3268.85,3269.39
CCMP:IND,16/11/1999,3242.92,3295.52,3219.54,3295.52
CCMP:IND,15/11/1999,3230.26,3236.35,3214.58,3219.54
CCMP:IND,12/11/1999,3220.98,3222.99,3124.77,3221.15
CCMP:IND,11/11/1999,3186.41,3201.38,3169.04,3197.29
CCMP:IND,10/11/1999,3126.09,3186.57,3122.04,3155.96
CCMP:IND,9/11/1999,3172.99,3174.81,3099.22,3125.04
CCMP:IND,8/11/1999,3072.04,3148.2,3068.86,3143.97
CCMP:IND,5/11/1999,3100.13,3118.06,3081.46,3102.29
CCMP:IND,4/11/1999,3067.08,3077.41,3028.52,3055.95
CCMP:IND,3/11/1999,3021.53,3040.94,3011.94,3028.51
CCMP:IND,2/11/1999,2984.43,3014.84,2971.68,2981.63
CCMP:IND,1/11/1999,2970.93,2997.9,2967.63,2967.65
CCMP:IND,29/10/1999,2919.37,2978.63,2919.37,2966.43
CCMP:IND,28/10/1999,2832.81,2875.48,2830.08,2875.22
CCMP:IND,27/10/1999,2811.94,2812.5,2768.87,2802.52
CCMP:IND,26/10/1999,2851.99,2859.92,2811.2,2811.47
CCMP:IND,25/10/1999,2813.29,2832.66,2793.54,2815.95
CCMP:IND,22/10/1999,2827.23,2843.6,2807.54,2816.52
CCMP:IND,21/10/1999,2727.74,2805.07,2724.74,2801.95
CCMP:IND,20/10/1999,2745.62,2788.13,2728,2788.13
CCMP:IND,19/10/1999,2725.57,2729.3,2674.9,2688.18
CCMP:IND,18/10/1999,2726.3,2730.49,2632.01,2689.15
CCMP:IND,15/10/1999,2748.1,2763.04,2704.28,2731.83
CCMP:IND,14/10/1999,2816.02,2821.69,2766.46,2806.84
CCMP:IND,13/10/1999,2834.94,2864.22,2787.86,2801.27
CCMP:IND,12/10/1999,2921.41,2923.32,2869.44,2872.43
CCMP:IND,11/10/1999,2890.73,2920.73,2890.54,2915.95
CCMP:IND,8/10/1999,2861.72,2886.59,2825.86,2886.57
CCMP:IND,7/10/1999,2874.75,2886.2,2847.18,2860.7
CCMP:IND,6/10/1999,2822.6,2857.43,2822.6,2857.21
CCMP:IND,5/10/1999,2804.62,2833.96,2765.37,2799.67
CCMP:IND,4/10/1999,2751.54,2795.99,2747.69,2795.97
CCMP:IND,1/10/1999,2729.04,2739.77,2698.01,2736.85
CCMP:IND,30/09/1999,2744.35,2765.41,2717.96,2746.16
CCMP:IND,29/09/1999,2759.97,2772.43,2728.9,2730.27
CCMP:IND,28/09/1999,2752.24,2763.75,2694.74,2756.25
CCMP:IND,27/09/1999,2781.42,2794.16,2758.96,2761.75
CCMP:IND,24/09/1999,2728.23,2746.78,2684.7,2740.41
CCMP:IND,23/09/1999,2879.9,2880.1,2741.94,2749.83
CCMP:IND,22/09/1999,2832.1,2858.19,2802.18,2858.16
CCMP:IND,21/09/1999,2863.56,2863.56,2819.69,2821.1
CCMP:IND,20/09/1999,2877.53,2890.72,2858.79,2886.15
CCMP:IND,17/09/1999,2825.86,2869.65,2824.19,2869.62
CCMP:IND,16/09/1999,2820.84,2820.84,2756.03,2806.72
CCMP:IND,15/09/1999,2887.23,2888.83,2813.25,2814.17
CCMP:IND,14/09/1999,2843.53,2870.26,2837.93,2868.29
CCMP:IND,13/09/1999,2879.78,2883.36,2844.76,2844.77
CCMP:IND,10/9/1999,2880.73,2897.53,2855.28,2887.06
CCMP:IND,9/9/1999,2826.6,2852.04,2807.95,2852.02
CCMP:IND,8/9/1999,2824.02,2851.12,2806.6,2808.74
CCMP:IND,7/9/1999,2840.12,2860.16,2833.02,2837.26
CCMP:IND,3/9/1999,2793.66,2843.11,2793.66,2843.11
CCMP:IND,2/9/1999,2716.15,2750.82,2698.18,2734.24
CCMP:IND,1/9/1999,2752.33,2768.55,2739.11,2750.8
CCMP:IND,31/08/1999,2717.26,2739.9,2671.67,2739.35
CCMP:IND,30/08/1999,2763.83,2769.07,2703.1,2712.69
CCMP:IND,27/08/1999,2792.47,2795.18,2752.48,2758.9
CCMP:IND,26/08/1999,2808.42,2819.9,2774.11,2774.62
CCMP:IND,25/08/1999,2772.82,2810.1,2750.72,2805.6
